Name,Gender,Color1,Race,Color2,Height,Publisher,Color3,Alignment,Weight
A-Bomb,Male,yellow,Human,No Hair,203,Marvel Comics,NA,good,441
Abe Sapien,Male,blue,Icthyo Sapien,No Hair,191,Dark Horse Comics,blue,good,65
Abin Sur,Male,blue,Ungaran,No Hair,185,DC Comics,red,good,90
Abomination,Male,green,Human / Radiation,No Hair,203,Marvel Comics,NA,bad,441
Abraxas,Male,blue,Cosmic Entity,Black,-99,Marvel Comics,NA,bad,-99
Absorbing Man,Male,blue,Human,No Hair,193,Marvel Comics,NA,bad,122
Adam Monroe,Male,blue,NA,Blond,-99,NBC - Heroes,NA,good,-99
Adam Strange,Male,blue,Human,Blond,185,DC Comics,NA,good,88
Agent 13,Female,blue,NA,Blond,173,Marvel Comics,NA,good,61
Agent Bob,Male,brown,Human,Brown,178,Marvel Comics,NA,good,81
Agent Zero,Male,NA,NA,NA,191,Marvel Comics,NA,good,104
Air-Walker,Male,blue,NA,White,188,Marvel Comics,NA,bad,108
Ajax,Male,brown,Cyborg,Black,193,Marvel Comics,NA,bad,90
Alan Scott,Male,blue,NA,Blond,180,DC Comics,NA,good,90
Alex Mercer,Male,NA,Human,NA,-99,Wildstorm,NA,bad,-99
Alex Woolsly,Male,NA,NA,NA,-99,NBC - Heroes,NA,good,-99
Alfred Pennyworth,Male,blue,Human,Black,178,DC Comics,NA,good,72
Alien,Male,NA,Xenomorph XX121,No Hair,244,Dark Horse Comics,black,bad,169
Allan Quatermain,Male,NA,NA,NA,-99,Wildstorm,NA,good,-99
Amazo,Male,red,Android,NA,257,DC Comics,NA,bad,173
Ammo,Male,brown,Human,Black,188,Marvel Comics,NA,bad,101
Ando Masahashi,Male,NA,NA,NA,-99,NBC - Heroes,NA,good,-99
Angel,Male,blue,NA,Blond,183,Marvel Comics,NA,good,68
Angel,Male,NA,Vampire,NA,-99,Dark Horse Comics,NA,good,-99
Angel Dust,Female,yellow,Mutant,Black,165,Marvel Comics,NA,good,57
Angel Salvadore,Female,brown,NA,Black,163,Marvel Comics,NA,good,54
Angela,Female,NA,NA,NA,-99,Image Comics,NA,bad,-99
Animal Man,Male,blue,Human,Blond,183,DC Comics,NA,good,83
Annihilus,Male,green,NA,No Hair,180,Marvel Comics,NA,bad,90
Ant-Man,Male,blue,Human,Blond,211,Marvel Comics,NA,good,122
Ant-Man II,Male,blue,Human,Blond,183,Marvel Comics,NA,good,86
Anti-Monitor,Male,yellow,God / Eternal,No Hair,61,DC Comics,NA,bad,-99
Anti-Spawn,Male,NA,NA,NA,-99,Image Comics,NA,bad,-99
