ID,GENDER_ACROSSTIME_T1T2T3T4,MPACS_TOTAL_IMP_T1,MPACS_TOTAL_IMP_T2,MPACS_TOTAL_IMP_T3,MPACS_TOTAL_IMP_T4,MPACS_TOTAL_IMP_T5,MPACS_TOTAL_IMP_T6,SPPA_SWORTH_IMP_T1,SPPA_SWORTH_IMP_T2,SPPA_SWORTH_IMP_T3,SPPA_SWORTH_IMP_T4,SPPA_SWORTH_IMP_T5,SPPA_SWORTH_IMP_T6
1,2,41.42857143,41.66666667,75,46,65,30.90909091,4,2,3.2,3.4,2.75,2.4
2,1,76.92307692,87,75,63,NA,NA,3,1.4,2.2,2.4,NA,NA
3,1,84.61538462,88,80,85,76,78,3.4,3.8,3.4,3.4,3.6,3.8
4,2,91.11111111,87.77777778,89,79,NA,74,4,3.4,3.8,3.8,NA,3.6
5,2,49,75,NA,93,NA,NA,2.2,3.2,NA,3,NA,NA
6,2,69,86,85,70,75,83,3.2,4,3.6,3.6,3.2,3.4
7,1,62.10526316,NA,76.92307692,NA,62,NA,3.4,1.4,1.666666667,NA,1.8,NA
8,1,40,40,47,47,NA,NA,2.6,2.2,2,2.2,NA,NA
9,1,71,66,NA,62,NA,NA,3.4,3.6,NA,3,NA,NA
10,1,78.94736842,80,73,58,99,62,3.8,3.6,3.6,2.6,3.2,2.6
11,2,87.69230769,81.11111111,73,83,66,68,3.666666667,3.4,3.4,3.4,3.2,3
12,1,NA,NA,76,79,89,89,NA,NA,3.4,3.4,3.4,3.2
13,2,76,87.36842105,NA,74,NA,NA,2.8,2.8,NA,2.8,NA,NA
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2,92,92,81,NA,79,88,3.6,4,4,NA,4,4
16,2,87,88,92,94,85,86,3.8,4,3.2,3,3,3.4
17,2,69,66,51,61,NA,NA,3.4,3,3,3,NA,NA
18,2,NA,NA,64,67,NA,NA,NA,NA,4,3.6,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,2,NA,62,70,73,NA,73.84615385,3,2.6,3.2,3.25,NA,3.6
21,2,77,86,86,80,70,83,3.8,3.6,3.6,3.6,3.6,3.6
22,1,83.33333333,88,91,NA,55.78947368,68.42105263,3.4,2.8,3.333333333,3,2.8,2
23,1,78,64,NA,74,NA,NA,3.6,3.4,NA,4,NA,NA
24,1,NA,87,86.31578947,89,61,84,NA,3.8,3.8,3.8,2.6,3
25,1,91,60,66.31578947,64,62,NA,4,2.4,3.6,2.4,2.4,NA
26,1,76.84210526,NA,NA,74,NA,NA,3.8,4,NA,3,NA,NA
27,4,83.75,58.75,90,70,63,76,3.8,3.333333333,3.6,2.5,3.6,3.4
28,1,89,86,81,78,NA,NA,3.6,3.6,3.6,3.6,NA,NA
29,4,75.78947368,77,68,64,NA,NA,3,3.2,3,2.6,NA,3
30,2,68,85,NA,NA,NA,NA,3.6,4,NA,NA,NA,NA
31,2,87,96,96,96,96,NA,3.6,3.8,4,4,3.8,NA
32,2,93,86,93,94,NA,NA,4,3.4,3.2,3,NA,NA
33,2,66,NA,69,61,64,NA,3.4,2.4,3.2,2.4,1.8,2.2
34,1,NA,66.66666667,65,NA,NA,NA,NA,2.6,2.6,NA,NA,NA
35,1,75.78947368,60,60,62.10526316,77,61,3.8,2.4,3.4,3.2,3.4,2.6
36,1,48,NA,56,43,NA,62.10526316,2.6,NA,2.8,3.4,NA,2.4
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,2,89,86,86,NA,NA,NA,4,4,4,NA,NA,NA
39,1,74,NA,62,NA,NA,NA,3,2.666666667,2.4,NA,NA,NA
40,5,33,53,41,NA,NA,NA,2.1,3.6,3,NA,NA,NA
41,1,NA,NA,62,NA,NA,NA,2.8,3.6,3.4,NA,NA,NA
42,2,79,79,69,73,NA,NA,1.8,3,3,3,NA,NA
43,1,NA,NA,NA,NA,NA,NA,3.666666667,NA,NA,NA,NA,NA
